spanish,english
Hola,Hello
Buenos días,Good morning
Buenas tardes,Good afternoon
Buenas noches,Good night
¿Cómo estás?,How are you?
Estoy bien,I'm fine
Muchas gracias,Thank you very much
De nada,You're welcome
Por favor,Please
Perdón,Sorry / Excuse me
Lo siento,I'm sorry
No entiendo,I don't understand
¿Puedes repetir?,Can you repeat that?
Más despacio,More slowly please
Hablo un poco de español,I speak a little Spanish
Estoy aprendiendo español,I'm learning Spanish
¿Cómo se dice esto en español?,How do you say this in Spanish?
¿Qué significa?,What does it mean?
No lo sé,I don't know
Tengo una pregunta,I have a question
¿Puedes ayudarme?,Can you help me?
Necesito ayuda,I need help
¿Dónde está el baño?,Where is the bathroom?
¿Dónde está la estación?,Where is the station?
¿Dónde está el hotel?,Where is the hotel?
¿Cómo llego allí?,How do I get there?
Estoy perdido,I'm lost
¿Cuánto cuesta?,How much does it cost?
Es demasiado caro,It's too expensive
¿Tiene descuento?,Do you have a discount?
Quiero comprar esto,I want to buy this
Solo estoy mirando,I'm just looking
Me gusta,I like it
No me gusta,I don't like it
Quiero esto,I want this
No quiero eso,I don't want that
Tengo hambre,I'm hungry
Tengo sed,I'm thirsty
Quiero comer,I want to eat
Quiero beber algo,I want to drink something
La comida está deliciosa,The food is delicious
La cuenta por favor,The bill please
Un café por favor,A coffee please
Sin azúcar,Without sugar
Con leche,With milk
Agua sin gas,Still water
Agua con gas,Sparkling water
Soy vegetariano,I'm vegetarian
Tengo alergia a...,I'm allergic to...
¿Qué me recomienda?,What do you recommend?
Una mesa para dos,A table for two
Tengo una reserva,I have a reservation
Quiero reservar una habitación,I want to book a room
¿Cuánto cuesta por noche?,How much does it cost per night?
¿Tiene wifi?,Do you have Wi-Fi?
¿Cuál es la contraseña?,What is the password?
¿A qué hora empieza?,What time does it start?
¿A qué hora termina?,What time does it end?
Estoy buscando...,I'm looking for...
Estoy interesado en...,I'm interested in...
Me gustaría...,I would like...
Quiero aprender más,I want to learn more
Tengo tiempo,I have time
No tengo tiempo,I don't have time
Ahora mismo,Right now
Más tarde,Later
Mañana,Tomorrow
Ayer,Yesterday
Hoy,Today
Siempre,Always
Nunca,Never
A veces,Sometimes
Tal vez,Maybe
Claro,Of course
Por supuesto,Of course / Certainly
Creo que...,I think that...
Pienso que...,I think that...
Tengo razón,I'm right
No tengo razón,I'm wrong
Estoy de acuerdo,I agree
No estoy de acuerdo,I disagree
¿Qué piensas?,What do you think?
¿De dónde eres?,Where are you from?
Soy de Alemania,I'm from Germany
¿Dónde vives?,Where do you live?
Vivo en...,I live in...
¿Cuántos años tienes?,How old are you?
Tengo ... años,I'm ... years old
¿Hablas inglés?,Do you speak English?
Un poco,A little
Muy bien,Very good
Está bien,It's okay
No pasa nada,No problem
Nos vemos,See you
Hasta luego,See you later
Hasta mañana,See you tomorrow
Que tengas un buen día,Have a good day
Buen viaje,Have a good trip
Cuídate,Take care
Me encanta,I love it
