spanish,english
¿Qué tal?,How's it going?
¿Qué pasa?,What's going on?
¿Qué haces?,What are you doing?
¿Qué estás haciendo?,What are you doing right now?
No pasa nada,No problem
Ya está,That's it / It's done
Ya lo sé,I already know
Ya veremos,We'll see
A ver,Let's see / Well...
Vamos a ver,Let's see
Bueno...,Well...
Pues...,Well... / So...
Entonces...,So... / Then...
O sea...,I mean... / In other words...
Es decir...,That is to say...
Por cierto...,By the way...
La verdad es que...,The truth is that...
Resulta que...,It turns out that...
Al final...,In the end / Eventually
De repente,Suddenly
De momento,For the moment / Right now
Por ahora,For now
Hasta ahora,So far / Until now
Desde luego,Of course
Claro que sí,Of course yes
Claro que no,Of course not
Ni idea,No idea
No sé qué decir,I don't know what to say
No tengo ni idea,I have no idea
Qué va!,No way! / Not at all!
No puede ser!,That can't be!
No me digas!,No way! / You don't say!
En serio?,Seriously?
De verdad?,Really?
Es verdad,It's true
Tienes razón,You're right
Tiene sentido,It makes sense
No tiene sentido,It doesn't make sense
Me da igual,I don't care / It doesn't matter to me
Da lo mismo,It's the same / It doesn't matter
Depende,It depends
Puede ser,It could be / Maybe
Creo que sí,I think so
Creo que no,I don't think so
No estoy seguro,I'm not sure
Estoy seguro,I'm sure
Estoy de acuerdo,I agree
No estoy de acuerdo,I disagree
Aunque,Although
Sin embargo,However
A pesar de que,Despite the fact that / Although
Por eso,That's why / Therefore
Por lo tanto,Therefore
Así que,So / Therefore
Mientras,While
Mientras tanto,Meanwhile
Antes de que,Before
Después de que,After
En cuanto,As soon as
Siempre y cuando,As long as
A menos que,Unless
Lo que pasa es que,The thing is that...
Lo único que...,The only thing that...
Lo que quiero decir...,What I mean is...
Lo que me gusta es...,What I like is...
Lo que más me gusta...,What I like the most is...
No es para tanto,It's not a big deal
No vale la pena,It's not worth it
Vale la pena,It's worth it
Me parece bien,I think it's good / Sounds good to me
Me parece raro,I find it strange
Me parece difícil,I find it difficult
Me parece interesante,I find it interesting
Tengo ganas de...,I feel like... / I want to...
No tengo ganas de...,I don't feel like...
Acabo de llegar,I just arrived
Acabo de hacerlo,I just did it
Llevo dos años viviendo aquí,I've been living here for two years
Hace mucho tiempo,A long time ago
Hace poco,Recently / A short time ago
Dentro de poco,Soon
De vez en cuando,From time to time
Cada vez más,More and more
Cada vez menos,Less and less
Más o menos,More or less
Poco a poco,Little by little
De repente pasó algo,Suddenly something happened
Me di cuenta de que,I realized that...
Me acuerdo de...,I remember...
No me acuerdo,I don't remember
Se me olvidó,I forgot
Se me hace difícil,I find it difficult
Se me hace raro,It feels strange to me
Me queda claro,It's clear to me
No me queda claro,It's not clear to me
Tengo que irme,I have to go
Tengo que hacerlo,I have to do it
Voy a hacerlo,I'm going to do it
Lo voy a intentar,I'm going to try it
No lo había pensado,I hadn't thought about it
Nunca había visto eso,I had never seen that
¿Qué quieres decir?,What do you mean?
¿Cómo que no?,What do you mean no?
¿A qué te refieres?,What are you referring to?
No te preocupes,Don't worry
Déjalo,Leave it / Forget it
Déjame pensar,Let me think
Ya veremos qué pasa,We'll see what happens
